id,start_date,start_time,end_date,end_time,Progress,duration,UserLanguage,Allocate_IG_M_1,Allocate_IG_M_2,Allocate_OG_M_1,Allocate_OG_M_2,Allocate_TG_M_1,Allocate_TG_M_2,Allocate_IG_P_1,Allocate_IG_P_2,Allocate_OG_P_1,Allocate_OG_P_2,Allocate_TG_P_1,Allocate_TG_P_2,Allocate_IG_Nat_1,Allocate_IG_Nat_2,Allocate_OG_Nat_1,Allocate_OG_Nat_2,Allocate_TG_Nat_1,Allocate_TG_Nat_2,Q_Language,nationality,currency,conversionrate,dvorder,mingroup,ingroupletter,outgroupletter,role,type_group,playedwith,gamepayoff,totalpayoff,totalmoney
p179,4/4/22,3:36:30,4/4/22,3:54:39,100,1088,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,20,0,20,0,20,0,10,10,EN-GB,British,£,0.067,attfirst,secondletter,S,P,recipient,nat_in_out,another national group,10,10,0.67
p180,4/4/22,3:41:45,4/4/22,3:54:41,100,776,EN-GB,NA,NA,NA,NA,NA,NA,15,5,18,2,12,8,18,2,19,1,15,5,EN-GB,British,£,0.067,attfirst,secondletter,N,L,recipient,nat_out_self,another national group,10,10,0.67
p181,4/4/22,3:47:15,4/4/22,3:55:00,100,464,EN-GB,NA,NA,NA,NA,NA,NA,10,10,15,5,15,5,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,secondletter,M,K,recipient,nat_out_self,another national group,10,10,0.67
p182,4/4/22,3:25:23,4/4/22,3:55:11,100,1788,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,10,10,10,10,EN-GB,British,£,0.067,allofirst,firstletter,K,M,allocator,nat_in,your national group,10,10,0.67
p183,4/4/22,3:39:45,4/4/22,3:55:13,100,927,EN-GB,20,0,20,0,10,10,NA,NA,NA,NA,NA,NA,20,0,20,0,0,20,EN-GB,British,£,0.067,attfirst,firstletter,H,J,allocator,nat_in,your national group,20,20,1.34
p184,4/4/22,3:41:12,4/4/22,3:55:24,100,852,EN-GB,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,20,0,20,0,0,20,EN-GB,British,£,0.067,attfirst,secondletter,N,L,allocator,min_in,Group N,20,20,1.34
p185,4/4/22,3:40:39,4/4/22,3:56:26,100,946,EN-GB,NA,NA,NA,NA,NA,NA,15,5,15,5,10,10,15,5,15,5,10,10,EN-GB,British,£,0.067,attfirst,secondletter,M,K,allocator,nat_out,another national group,15,15,1.005
p186,4/4/22,3:27:51,4/4/22,3:56:49,100,1738,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,12,8,12,8,10,10,EN-GB,British,£,0.067,attfirst,firstletter,H,J,recipient,nat_in_out,another national group,10,10,0.67
p187,4/4/22,3:40:39,4/4/22,3:57:18,100,998,EN-GB,20,0,20,0,20,0,NA,NA,NA,NA,NA,NA,20,0,20,0,10,10,EN-GB,British,£,0.067,allofirst,firstletter,P,S,recipient,nat_out_self,another national group,5,5,0.335
p188,4/4/22,3:41:57,4/4/22,3:57:39,100,941,EN-GB,NA,NA,NA,NA,NA,NA,12,8,15,5,10,10,15,5,10,10,5,15,EN-GB,British,£,0.067,allofirst,secondletter,S,P,allocator,nat_out,another national group,10,10,0.67
p189,4/4/22,3:40:24,4/4/22,3:58:05,100,1061,EN-GB,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,10,10,15,5,15,5,EN-GB,British,£,0.067,allofirst,firstletter,K,M,allocator,min_in,Group K,10,10,0.67
p190,4/4/22,3:41:13,4/4/22,3:58:23,100,1029,EN-GB,NA,NA,NA,NA,NA,NA,15,5,15,5,15,5,10,10,16,4,16,4,EN-GB,British,£,0.067,allofirst,secondletter,M,K,recipient,nat_in_out,another national group,12,12,0.804
p191,4/4/22,3:42:24,4/4/22,3:59:09,100,1005,EN-GB,NA,NA,NA,NA,NA,NA,10,10,13,7,15,5,13,7,13,7,10,10,EN-GB,British,£,0.067,attfirst,secondletter,S,P,allocator,min_in,Group S,10,10,0.67
